ticker,score,last_price,strategy_count,avg_strat_return_pct,avg_strat_max_drawdown_pct,avg_strat_sharpe,avg_strat_sortino,avg_strat_calmar,avg_pl_pct_all,pl_std_dev,positive_strat_ratio,avg_trades_per_strat,avg_commission_per_strat,bh_return_pct,bh_max_drawdown_pct,bh_sharpe,top_strategies,worst_strategies
TORNTPOWER,-0.33068146811337723,1500.300048828125,47,-4.490265401934812,11.677835282336702,-0.33068146811337723,-0.48081913621576594,-0.37015772917944434,-4.496082814694662,9.624439183935703,0.3191489361702128,74.04255319148936,670.7227352840342,3.7679446843748465,36.72720335005334,0.2971550694524845,"pairs_trading_strategy:8.32, williams_vix_fix_strategy:7.10, keltner_channel_strategy:6.91","trix_strategy:-19.16, price_channel_strategy:-30.94, adaptive_channel_strategy:-36.82"
RATNAMANI,-0.33104474324247435,2632.449951171875,47,-2.626406442439755,10.464019600570257,-0.33104474324247435,-0.4730360460142661,-0.24153621916158946,-2.6296506733320504,7.785892621751797,0.23404255319148937,57.276595744680854,533.8120339667137,-6.699345429650105,37.70485353048875,-0.11520020732060242,"trix_strategy:11.75, vortex_indicator_strategy:9.83, stochastic_momentum_strategy:8.10","bollinger_bands_strategy:-17.57, elder_ray_strategy:-22.60, rsi_strategy:-24.43"
SAPPHIRE,-0.33403315806394845,293.54998779296875,47,-3.333510012970753,9.843421292776359,-0.33403315806394845,-0.516109570391278,-0.3259375313288864,-3.337887852407896,6.068351863815156,0.1702127659574468,73.29787234042553,679.5514504472449,-5.668567277240511,24.80345712332324,0.0073392781089783535,"bollinger_bands_strategy:10.40, rsi_strategy:8.73, keltner_channel_strategy:7.38","schaff_trend_cycle_strategy:-13.99, volume_price_trend_strategy:-14.34, triple_moving_average_strategy:-17.17"
JSWENERGY,-0.33637776213335835,522.5,47,-4.837353181427062,14.54783191943567,-0.33637776213335835,-0.45907417880737333,-0.32012263432692933,-4.842671028365774,7.425218767284277,0.2127659574468085,74.14893617021276,712.5357718401971,-3.3158272017073,45.52111525153027,0.1612993120772594,"center_of_gravity_strategy:10.34, mean_reversion_strategy:6.70, ehlers_fisher_strategy:3.03","wavelet_momentum_strategy:-20.20, volatility_breakout_strategy:-20.51, volume_price_trend_strategy:-20.69"
MAHSEAMLES,-0.3417030785736309,735.0999755859375,47,-3.70895840938652,9.022324865651205,-0.3417030785736309,-0.5600482255351154,-0.39567996297969366,-3.712732093560402,8.109603704700959,0.19148936170212766,68.68085106382979,589.8596097749751,-18.586007683438865,37.6112598889399,-0.34856143881493634,"psar_strategy:9.65, rsi_strategy:8.00, phase_change_strategy:4.89","volatility_breakout_strategy:-19.30, wavelet_momentum_strategy:-29.45, adaptive_momentum_filter_strategy:-29.89"
MAPMYINDIA,-0.35256014611342523,1704.75,47,-4.541235903580565,12.310389359793522,-0.35256014611342523,-0.568102599703137,-0.35512707745729866,-4.5459456461467305,8.822884780632226,0.19148936170212766,69.04255319148936,641.8216638651097,-10.678140202445574,39.149151602033676,-0.037415249440780174,"center_of_gravity_strategy:20.23, williams_vix_fix_strategy:15.33, keltner_channel_strategy:11.13","volume_price_trend_strategy:-18.84, dema_strategy:-19.61, wavelet_momentum_strategy:-25.48"
USHAMART,-0.35731824166630366,334.0,47,-4.754109252162819,11.220373466617291,-0.35731824166630366,-0.5715179806238266,-0.40790739043998925,-4.760282703412962,8.750277425748026,0.23404255319148937,72.87234042553192,671.6498475400235,-2.475712518194728,34.14994130116816,0.1448446339070482,"simple_trend_reversal_strategy:14.18, trix_strategy:9.64, rsi_strategy:9.43","price_channel_strategy:-20.90, psar_strategy:-21.47, adaptive_momentum_filter_strategy:-21.50"
COALINDIA,-0.3591021167676648,397.6499938964844,47,-3.7157098830876367,9.093062625779844,-0.3591021167676648,-0.362034571455859,-0.393317024550666,-3.719682831348171,6.436265917194964,0.14893617021276595,70.1063829787234,631.4731981331034,-4.654851703926932,30.840138133500687,-0.0009362318415839901,"triple_moving_average_strategy:7.00, simple_trend_reversal_strategy:4.43, williams_vix_fix_strategy:4.04","dema_strategy:-16.73, schaff_trend_cycle_strategy:-23.01, adaptive_channel_strategy:-23.38"
IIFL,-0.35968184750371557,324.8999938964844,47,-4.803384636823593,13.300048796666752,-0.35968184750371557,-0.6544815446869782,-0.34769470729550866,-4.805764195685208,6.861008771352613,0.10638297872340426,67.76595744680851,635.2328983465967,-7.078507202070005,46.525875523951775,0.06605134147470937,"adaptive_channel_strategy:8.92, trix_strategy:6.85, rsi_strategy:6.16","information_flow_strategy:-18.66, adaptive_momentum_filter_strategy:-19.70, hull_moving_average_strategy:-22.00"
ABB,-0.36478081913334764,5399.14990234375,47,-3.812990734739119,12.169590980348554,-0.36478081913334764,-0.40517435401108515,-0.3015846075121274,-3.816526180908193,8.876843791986047,0.2553191489361702,51.148936170212764,506.47671535280926,-15.615344045321155,45.20950507878781,-0.21964773777246296,"momentum_strategy:24.47, vortex_indicator_strategy:9.01, relative_vigor_index_strategy:7.22","volume_price_trend_strategy:-18.50, psar_strategy:-19.29, kalman_filter_strategy:-20.64"
